사업장명,병상수
백림마취통증의학과의원,0
김용철마취통증의학과의원,12
연세조이산부인과의원,0
이지브레인광화문정신건강의학과의원,0
기찬마취통증의학과의원,0
동서치과의원,0
경희예쁜몸한의원,0
네이처비뇨의학과의원,1
올림한의원,0
혜화편한의원,0
서울사랑니치과의원,0
일맥한의원 톡톡의원,0
정안산부인과의원,0
청담한의원,0
서울큰나무치과의원,0
춘원당한의원,0
더클리어의원,0
광화문정형외과의원,0
서울나은치과의원,0
소망마취통증의학과의원,0
프리미엘의원,0
한송이산부인과의원,0
서울본재활의학과의원,0
유명한의원,0
동묘백세치과의원,0
종로본정형외과의원,0
더블유항외과의원,8
광덕안정한의원,20
우리치과의원,0
종로의원,0
새희망내과의원,0
한보한의원,0
연수당한의원,0
연세해맑은치과의원,0
삼성화인마취통증의학과의원,0
경희한의원,0
시세도한의원,0
보스톤치과의원,0
세인치과의원,0
메디홈가정의학과의원,0
경희속편한한의원,0
서울새린치과의원,0
옥토한의원,0
새얀안과의원,0
마인드힐정신건강의학과의원,0
일세정한의원,0
남정치과의원,0
송달옥비뇨기과의원,0
문이비인후과의원,1
덕성한의원,0
종로용치과의원,0
대동외과의원,0
강한치과의원,0
행촌의원,0
청남한의원,0
카라성형외과의원,0
최재성치과의원,0
연세우리소아과의원,0
달과궁한의원,0
서린연세치과의원,0
금성한의원,0
연세소아청소년과의원,0
롯데웰치과의원,0
메르덴치과의원,0
안국수치과의원,0
종로밀레니엄치과의원,0
최욱환치과의원,0
이상연신경정신과의원,0
정가정의원,0
서울가정의학과의원,0
조은치과의원,0
박재찬치과의원,0
더프리티영의원,0
연세종로마취통증의학과의원,0
미소안과의원,0
르미엘성형외과의원,0
연세메트로비뇨기과의원,0
원치과의원,0
부암치과의원,0
(재)한국의학연구소한국중부의원,0
서울제이치과의원,0
박병우한의원,0
신진한의원,0
이일영비뇨기과의원,0
안박치과의원,0
보람연합의원,0
늘고운한의원,0
한솔마취통증의학과의원,0
우리의원,0
광화문한의원,0
김성조치과의원,0
서울유니언이비인후과의원,2
이선우성형외과의원,3
경희부부한의원,0
클리오치과의원,0
한양한의원,0
고은이치과의원,0
하늘치과의원,0
이루미치과의원,0
채움마취통증의학과의원,0
웅플란트치과의원,0
제일한의원,0
새생명한의원,0
이영관치과의원,0
장갑성애플치과의원,0
공안과의원,0
방태현치과의원,0
본치과의원,0
로뎀치과의원,0
성제한의원,0
(재)원불교서울보화당한의원,0
오거리한의원,0
벨치과의원,0
관자재한의원,0
삼정의원,0
우창한의원,0
위강원한의원,0
미플러스치과의원,0
한침한의원,0
인치과의원,0
생생플란트치과의원,0
좋은미소치과의원,0
정극모치과의원,0
웃는치과의원,0
만춘당한의원,0
송신경정신과의원,0
김정우치과의원,0
미시간치과의원,0
송재한의원,0
서울본치과의원,0
다연한의원,0
임계원정신건강의학과의원,0
신중호내과의원,0
부암한의원,0
지앤미치과의원,0
동대문치과의원,0
손윤희치과의원,0
혜화가정의원,0
정이안한의원,0
소화연세소아청소년과의원,0
강현수비뇨기과의원,0
유일한의원,0
소명의원,0
종로한의원,0
IP&I치과의원,0
한이비인후과의원,1
통인한의원,0
다인치과의원,0
한스의원 한의원,0
연세이비인후과의원,0
종로으뜸한의원,0
서울도담치과의원,0
광화문닥터김이비인후과의원,0
(의) 열린의료재단 동대문열린의원,0
궁플란트치과의원,0
고려다온정형외과의원,0
창신경희한의원,0
미즈여성산부인과의원,0
로앤산부인과의원,0
하나여성의원,2
구기한의원,0
한국복지의료생활협동조합라임플란트치과의원,0
대나무한의원,0
예풍의원·한의원,3
예풍의원·한의원,3
향기로운서울훈치과의원,0
빛울림한의원,0
혜원당한의원,0
이플러스치과의원,0
사단법인 국제굿피플나눔본부 반석샘물치과의원,0
중앙치과의원,0
성철제치과의원,0
연세다나이비인후과의원,0
비앤비클리닉의원,0
정치과의원,0
김경진치과의원,0
기분좋은치과의원,0
종로신경외과의원,0
평창한의원,0
세검정한의원,0
종로신진한의원,0
백상치과의원,0
이플란치과의원,0
예본안과의원,4
광화문믿음치과의원,0
메이트치과의원,0
뿌리치과의원,0
한사랑안과의원,0
늘푸른비뇨기과의원,1
라파(Rapha)연세치과의원,0
자비손한의원,0
이재홍한의원,0
송치과의원,0
해성한의원,0
연세신도의원,0
유정이비인후과의원,0
한스의원 한의원,0
서울미유치과의원,0
코코이비인후과의원,0
이지스의원,23
더스퀘어치과의원,0
경희궁삼성정신건강의학과의원,0
참다운내과의원,0
고불보서울한의원,0
서울다혜의원,0
트윙클의원,0
경희동행한의원,0
안녕한의원,0
연세솔이비인후과의원,1
밤비의원,0
박창증정신건강의학과의원,0
미플란트치과의원,0
예담치과의원,0
연세리치과의원,0
서울플란트치과의원,0
세명치과의원,0
정재원더블유(W)산부인과의원,0
종로정형외과의원,8
마리앤라인의원,0
화인마취통증의학과의원,0
세란통마취통증의학과의원,0
서울비뇨기과의원,0
경희봄한의원,0
아름턱한의원,0
바이오인프라의원,0
임경임마취통증의학과의원,0
평생주치의 딱 좋은 치과의원,0
동묘대찬치과의원,0
시원마취통증의학과 의원,0
광화문더블유치과의원,0
대광한의원,0
제중안과의원,0
선이아름다운치과의원,0
단아치과의원,0
세실치과의원,0
종로와이(Y)산부인과의원,0
대학로서울정형외과의원,0
선진한의원,0
태을한의원,0
문준식치과의원,0
재단법인푸르메 푸르메의원,0
김앤박차이의원,0
성원의원,0
소통한의원,0
곽내과의원,0
서울삼성재활의학과의원,0
동대문한의원,0
연세에스웰피부과의원,0
강규욱치과의원,0
유선재치과의원,0
평창다인치과의원,0
더가인치과의원,0
종로낙원의원,0
바른이치과의원,0
서울미소엔치과의원,0
서울훈치과의원,0
이물비치과의료생활협동조합 이물비치과의원,0
원제한의원,0
동남한의원,0
연세반디 정신건강의학과의원,0
새서울치과의원,0
충남한의원,0
이성호 가정의학과의원,0
산소의원,0
리즈산부인과의원,0
재단법인푸르메 푸르메치과의원,0
종로구보건소,0
마음공간정신건강의학과의원,0
광화문광장치과의원,0
두리원비뇨기과의원,0
종로세브란스의원,0
혜화수치과의원,0
동성한의원,0
대학로서울안과의원,0
마로니에이비인후과의원,0
서울S치과의원,0
명륜신경정신과의원,0
서울케이(K)내과의원,0
지인내과의원,0
동서한의원,0
참빛치과의원,0
약뜸한의원,0
김은의한의원,0
미유치과의원,0
단침한의원,0
튼튼내과의원,0
혜담한의원,0
흥인탑이비인후과의원,1
광화문경희한의원,0
삼익한의원,0
독립문 약손 한의원,0
화이팅마취통증의학과의원,0
서울듀크의원,0
톡톡의원,0
종로하나로치과의원,0
백자한의원,0
박효대내과의원,0
방익수내과의원,0
연세자연치과의원,0
본가한의원,0
연세이엔오치과의원,0
대학로 힘정형외과의원,0
강남의원,0
연세학치과의원,0
웅선의원,0
의료법인하나로의료재단하나로의원,0
혜화영상의학과의원,0
원비뇨기과의원,0
선치과의원,0
양인서치과의원,0
최치원치과의원,0
연세김치과의원,0
신현수치과의원,0
김현치과의원,0
옹상욱치과의원,0
화창한의원,0
서울예안치과의원,0
정다운신경외과의원,0
참좋은치과의원,0
세종로한의원,0
우정의원,0
리버스의원,0
덕인한의원,0
김산한의원,0
종로기대찬신경외과의원,2
강화당한의원,0
종로광장정형외과의원,0
경희스마일한의원,0
용화당한의원,0
광화문헬스케어의원,0
연세고운미소치과의원,0
성혜내과의원,0
동림당한의원,0
우주연한의원,0
런던치과의원,0
광화문참바른정형외과의원,0
동남정신과의원,0
리오산부인과의원,0
평화가정의원,0
종로에스앤유피부과의원,0
김패밀리의원,0
종로비뇨기과의원,1
해맑은한의원,0
아침한의원,0
임치과의원,0
홍예표치과의원,0
박종철신경정신과의원,0
조종만치과의원,0
서울더나은치과의원,0
삼성바른내과의원,0
연세베스트안과의원,0
장경호가정의학과의원,0
김치과의원,0
신세계치과의원,0
경복궁 경희 한의원,0
흥인경희한의원,0
경희박현준한의원,0
경희궁튼튼소아청소년과의원,0
알파스한의원,0
해울한의원,0
만다라한의원,0
연세센스의원,0
충신한의원,0
연세정인치과의원,0
동대문미소치과의원,0
서울청춘치과의원,0
다나한의원,0
바른라인치과의원,0
종로본치과의원,0
연세광화문정신건강의학과의원,0
서울갤럭시치과의원,0
연세마이덴치과의원,0
꽃길의원,0
코숨한의원,0
공명한의원,0
서울봄빛치과의원,0
경희궁한의원,0
삼성보스톤내과의원,0
틀플란트치과의원,0
종로연세참재활의학과의원,0
라움정신건강의학과의원,0
동묘더튼튼의원,0
수정신건강의학과의원,0
화인통증의학과의원,0
100년한의원,0
자임당한의원 명동점,0
소중한이치과의원,0
충정로수이비인후과의원,0
정훈치과의원,0
유림치과의원,0
연세이비인후과의원,0
엠와이치과의원,0
루덴치과의원,0
그랑메디의원,0
을지연세치과의원,0
브라이트치과의원,0
진솔한의원,0
권소연산부인과의원,0
닥터노아치과의원,0
경희해인한의원,0
행복한예인치과의원,0
다산한의원,0
더드림산부인과의원,19
미앤미의원,0
루시다의원,0
이창순이비인후과의원,0
신승호내과의원,0
이플랜치과의원,0
아이비치과의원,0
제니스신성치과의원,0
안준상치과의원,0
세연치과의원,0
학교법인)세브란스헬스체크업의원,0
김성철치과의원,0
조영호내과의원,0
황혜경치과의원,0
사랑채한의원,0
씨에라여성의원,0
명동독일치과의원,0
오치과의원,0
대혜의원,0
한번에치과의원,0
동평화치과의원,0
정비뇨기과의원,0
아산설치과의원,0
노정식성형외과의원,0
흰돌치과의원,0
방신호내과의원,0
을지서울치과의원,0
하림치과의원,0
권오택치과의원,0
백송치과의원,0
김순화소아과의원,0
한을남 하늘피부과의원,0
성모안과의원,0
약수샘치과의원,0
충무로치과의원,0
가디언즈치과의원,0
서울아이비치과의원,0
이원철치과의원,0
이범권치과의원,0
밝은안과의원,0
본치과의원,0
서울참피부과의원,0
명동리더스피부과의원,0
연세하나로의원,0
시청곧바른의원,10
이구치과의원,0
늘푸른치과의원,0
호현치과의원,0
권명대치과의원,0
이앤이치과의원,0
서울이비인후과의원,0
타워치과의원,0
우리정형외과의원,0
유디남대문치과의원,0
믿음치과의원,0
탑라인치과의원,0
연세이비인후과의원,0
남산왕개하한의원,0
(의)성광의료재단 차여성의원,0
올의원,0
을지로신경외과의원,3
서울중앙의료의원,0
맑은마음의원,0
소망정형외과의원,0
약수한의원,0
한피부과의원,0
메리힐이비인후과의원,2
고영균한의원,0
서울연치과의원,0
상록수정신과의원,0
열린이비인후과의원,0
김동진성형외과의원,0
위즈앤미의원,0
미래의원,0
이오치과의원,0
청구치과의원,0
한일치과의원,0
서울가정의학과의원,0
명동고운세상피부과의원,0
광화문예치과의원,0
풍전치과의원,0
서울보스톤치과의원,0
지앤아이내과의원,0
휴본한의원,0
자혜당한의원,0
정치과의원(정두헌),0
상쾌한의원,0
서상렬내과의원,0
민일치과의원,0
서울큰사랑치과의원,0
신세계치과의원,0
연세치과의원,0
윤주한의원,0
신당한의원,0
소공치과의원,0
최웅대치과의원,0
신동훈의원,0
플러스원치과의원,0
숙제한의원,0
미래이비인후과의원,0
연세남대문치과의원,0
쉬앤미산부인과의원,0
하임한의원,0
미라인치과의원,0
서울힐치과의원,0
쌍용치과의원,0
대신의원,0
마성한의원,0
남산타운윤치과의원,0
경희한의원,0
수내과의원,0
남산타운서울치과의원,0
청구경희한의원,0
서울특별시 중구보건소,0
김화규치과의원,0
규림한의원,0
신동진이비인후과의원,0
광생한의원,0
서울라인치과의원,0
동원미즈한의원,0
민유선산부인과의원,0
밸런스치과의원,0
서울세연치과의원,0
린내과의원,0
아비쥬의원,0
맑은성모의원,0
명동미소유의원,0
소금치과의원,0
서울행복치과의원,0
경희무교로한의원,0
장충한의원,0
백순지치과의원,0
강비뇨기과의원,0
프레스치과의원,0
남대문명동정형외과의원,0
미플란트치과의원,0
연세힐링재활의학과의원,0
연세네이처치과의원,0
나음피부과의원,0
온바디한의원,0
정인내과의원,0
아름다운나라피부과의원,0
선재한의원,0
메리힐안과의원,0
심상선독일치과의원,0
최앤이치과의원,0
센트럴이비인후과의원,2
이의홍치과의원,0
민치과의원,0
더드림치과의원,0
제이디의원,0
명동콤비치과의원,0
중앙외과의원,0
아이누리한의원,0
오성당한의원,0
이안안과의원,0
연세예인의원,0
강북센트럴치과의원,0
준비뇨기과의원,0
하늘마음한의원,0
선우엔조신경과의원,0
아름다운미탐의원,0
아이플란트치과의원,0
서울홍치과의원,0
본점치과의원,0
한여성의원,0
센트럴치과의원,0
명동하나이비인후과의원,2
명동서울밝은안과의원,0
해피메디의원,0
명동수치과의원,0
명동연세의원,0
최경진정형외과의원,16
약수소생한의원,0
아우라의원,0
서울하이안치과의원,0
유태석내과의원,0
이인환치과의원,0
밀레니엄연세치과의원,0
보광당한의원,0
명동성모안과의원,0
성모내과의원,0
맑은숲이비인후과의원,0
신한연세내과의원,0
프라임치과의원,0
제일정형외과의원,0
골드만비뇨기과의원,3
시스템치과의원,0
김용호치과의원,0
윤윤보내과의원,0
더드림소아청소년과의원,0
소중한이들을위한치과의원,0
김의원,0
탄탄치과의원,0
태평한의원,0
신마취통증의학과의원,2
닥터권치과의원,0
연세미담치과의원,0
연세에스치과의원,0
연세하늘치과의원,0
한독의료재단부설서부중앙의원,29
의료법인편강의료재단 편강한의원,0
사계절한의원,0
메트로노치과의원,0
베네치아치과의원,0
킨더웰소아청소년과의원,0
남대문세화한의원,0
MBS한의원,0
덕수한의원,0
자작나무치과의원,0
중림한의원,0
명보치과의원,0
씨앤피차앤박피부과의원,0
이가정의원,0
김기홍치과의원,0
에이피엠치과의원,0
한사랑의원,0
즐거운이치과의원,0
이승진가정의학과의원,0
나무정형외과의원,0
현명신경외과의원,9
하버디안치과의원,0
회현치과의원,0
제일치과의원,0
덴타피아치과의원,0
박환실비뇨기과의원,0
회현정내과의원,0
평화치과의원,0
박주형신경정신과의원,0
이영호치과의원,0
미소진의원,0
청산치과의원,0
영락내과의원,0
나홍찬치과의원,0
김의종치과의원,0
명신의원,0
덕수치과의원,0
임승현비뇨기과의원,0
연세드림비뇨기과의원,0
센터치과의원,0
유앤영피부과의원,0
미소샘치과의원,0
미소담치과의원,0
의료법인삼성의료재단 강북삼성태평로의원,0
소망안과의원,0
백설소아과의원,0
연치과의원,0
더맑은가정의학과의원,4
자연방한의원,0
벧엘한의원,0
청아치과의원,0
세브란스이치과의원,0
홍익한의원,0
미소치과의원,0
연세수치과의원,0
신당성심치과의원,0
프리미어중앙치과의원,0
멘파워비뇨기과의원,1
서울안과의원,0
메디코스의원,0
서울역 허브치과의원,0
비스타한의원,0
연세맑은이비인후과의원(회현점),1
이준걸통증의원,0
김경희건강한마음의원,0
노태래치과의원,0
연세미소래치과의원,0
연세건치과의원,0
루비의원,0
자혜한의원,0
포샤르치과의원,0
사랑담은내과의원,0
서울킴스치과의원,0
봉래한의원,0
단아의원,0
명동연세이비인후과의원,2
비엘티의원,0
보아스이비인후과의원,6
이사랑치과의원,0
헬로에이피엠정연실산부인과의원,0
삼성푸른의원,0
더블유(W)치과의원,0
연세윌치과의원,0
신당현대치과의원,0
동대문시카고치과의원,0
여노피산부인과의원,0
연세재활의학과의원,0
미애로여성의원,0
예손치과의원,0
수려한치과의원,0
동대문서울삼성치과의원,0
부엉이한의원,0
소중한나의원,0
서울우리원치과의원,0
연세오슬로치과의원,0
월오한의원,0
화이트플러스치과의원,0
양창순 정신건강의학과의원,0
우리치과의원,0
이윤수조성완비뇨기과의원,2
새고운한의원,0
경희김주원한의원,0
플로레의원,0
명동아름다운치과의원,0
명동자연과한의원,0
리쥬엘의원,0
레이킴치과의원,0
한담한의원,0
동대문메이퓨어의원,0
예진한의원,0
서울헤아림치과의원,0
남대문외과의원,4
효정한의원,0
소망치과의원,0
한마루정신건강의학과의원,0
사단법인)한국의료봉사회제생치과의원,0
남도현프로덴탈치과의원,0
이임선안과의원,0
서상욱남시한의원,0
김현수한의원,0
바른치과의원,0
수생당한의원,0
신세계경희한의원,0
명동박내과의원,0
배원식한의원,0
덴티스타치과의원,0
심미치과의원,0
예스치과의원,0
윤창옥내과의원,0
엠제이(MJ)올피부과의원,0
서울스타일치과의원,0
광화문연치과의원,0
우리원헬스케어영상의학과의원,0
소중한몸한의원,0
김주관치과의원,0
연세본치과의원,0
라임비뇨기과의원,2
명동리본의원,0
프라임여성의원,0
나사랑의원,0
약수경희한의원,0
나이스피부과의원,0
참사랑의원,0
세종한의원,0
그린한의원,0
경희꽃사슴한의원,0
메이치과의원,0
동호의원,0
혜화당한의원,0
종로치과의원,0
티안나의원,0
조은수치과의원,0
동방진치과의원,0
명동한의원,0
리뉴미피부과의원,0
서울시티치과의원,0
예원치과의원,0
연세현치과의원,0
안내과의원,0
최두균한의원,0
중국한의원,0
정동욱이비인후과의원,0
장치과의원,0
담스의원,0
도연한의원,0
광화문선치과의원,0
서울e조은치과의원,0
서울송내과의원,0
서울내과의원,0
연세미래치과의원,0
클로버한의원,0
트루맨남성의원,0
휴의원,0
이잘하는치과의원,0
뉴욕치과의원,0
웰빙한의원,0
제일치과의원,0
임이비인후과의원,0
백명기의원,0
샘내과의원,0
한맥한의원,0
이치과의원,0
서울미인치과의원,0
미라벨의원,0
빈센트의원,0
제일내과의원,0
밝은미소치과의원,0
참본정형외과의원 충정로점,0
연세웰 정신건강의학과 의원,0
메가비뇨의학과의원,0
서울수미치과의원,0
경희인한의원,0
리더스의원,0
경희봄봄한의원,0
을지로정형외과의원,0
우리본정형외과의원,6
유담한의원,0
쉼표한의원,0
서린치과의원,0
와이즈유의원,0
서울아랑치과의원,0
녹양한의원,0
을지바른의원,0
청명한의원,0
연세공감마취통증의학과의원,3
온유마취통증의학과의원,0
당신의숲정신건강의학과의원,0
초이스외과의원,3
광덕안정한의원 중구신당점,0
더하루치과의원,0
센트럴성모정형외과의원,0
덕수재활의학과의원,0
을지로마디튼튼신경외과의원,0
리엔장의원,0
시청역성모정형외과의원,2
의료법인 녹십자의료재단 녹십자아이메드강북의원,0
을지로참내과의원,0
더의원,0
명동라라의원,0
서울성모의원한의원,0
유덴치과의원,0
길치과의원,0
연세동대문정형외과의원,0
아미스킨의원,0
동대문삼성내과의원,0
연세이도치과의원,0
뮤즈의원,0
해올한의원,0
라이즈치과의원,0
을지트윈타워정형외과의원,0
신당센트럴이비인후과의원,0
을지트윈치과의원,0
참다인한의원,0
민트정신건강의학과의원,0
성모 준 이비인후과의원,0
리버스의원,0
센터원지앤이내과의원,0
서울역연세공감의원,0
서울센트럴정신건강의학과의원,0
서울원하트내과의원,0
명동시원한의원,0
제이에이치제일의원,0
다올치과의원,0
최성제치과의원,0
경희보람의원한의원,0
경희보람의원한의원,0
빛이난다의원,0
한가람마취통증의학과의원,2
바른마음치과의원,0
경희베네치아한의원,0
진심온한의원,0
아미한의원,10
명동연세치과의원,0
클래식피부과의원,0
서울삼성내과의원,0
의료법인 한독의료재단 후산한의원,0
충무로필한의원,10
김영민치과의원,0
연세센텀치과의원,0
서울중부치과의원,0
서울하늘에치과의원,0
이튼튼치과의원,0
뉴페이스의원,0
삼성드림이비인후과의원,4
세린산부인과의원,0
신당튼튼의원,0
뉴욕바른라인치과의원,0
산치과의원,0
서울닥터박치과의원,0
어뉴(Anew)의원,0
더끌림 산부인과의원,0
충정로연세내과의원,0
굿본정형외과재활의학과의원,1
체리쉬다오앤셀의원,0
연세다온소아청소년과의원,0
더정신건강의학과의원,0
올곧한의원,0
신당본한의원,0
봄치과의원,0
다나슬한의원,0
서울성모의원한의원,0
충정로예치과의원,0
서울바움치과의원,0
마디로한의원,0
대한내과의원,0
그린나래산부인과의원,0
서울찬마취통증의학과의원,1
에스힐척척의원한의원,0
에스힐척척의원한의원,0
강북신광한의원,0
사)한국뇌전증협회우리의원,0
다오의원,0
연세예감치과의원,0
서울에이스마취통증의학과의원,0
톡스앤필의원명동점,0
신당스카이정형외과의원,0
경희몸신한의원,0
연세웰이비인후과의원,3
참소망의료소비자생활협동조합 늘푸른의원,0
중서한의원,0
성모바른정형외과의원,7
서울하이케어의원,10
서울가정의원,0
청계한의원,0
민플란트치과의원,0
소망의원,0
맑은문피부과의원,0
오늘안치과의원,0
서울베스트의료의원,0
약수내과의원,0
함사랑치과의원,0
두리이비인후과의원,0
서울센트럴이비인후과의원,1
서울정통의원,0
학교법인) 연세대학교 세브란스헬스체크업치과의원,0
남산당한의원,0
서울믿음치과의원,0
명동예쁨주의쁨의원,0
리메이의원,0
서울엔(N)비뇨기과의원,0
라민의원,0
남대문더본재활의학과의원,0
경희미담한의원,0
보스톤치과의원,0
다인한의원,0
원바른의원,14
조은플란트치과의원,0
트리니티내과의원,0
연세밝은미소치과의원,0
아이파크몰의원,0
약손한의원,0
이창우치과의원,0
멘드의원,0
지혜샘정신건강의학과의원,0
청담바롬의원,0
동경한의원,0
큐티스의원,0
용산피부사랑피부과의원,0
바른아산정형외과의원,1
모차르트성형외과의원,0
우리모두들치과의원,0
효창경희한의원,0
오늘정신건강의학과의원,0
몸잘보는한의원,0
에스앤유제통의원,0
한동철내과의원,0
엘리엇의원,0
서울송마취통증의학과의원,0
비비재활의학과의원,0
이태원정형외과의원,0
다이아산부인과의원,0
맨스톤비뇨의학과의원,1
홈스피탈내과의원,0
경리단길의원,0
미다스의원,0
용산보구한의원,0
해밀턴치과의원,0
오소록한의원,0
르셀크리닉의원,0
용산튼튼의원,0
마주침한의원,0
채움산부인과의원,0
제이엠가정의학과의원,0
서울영재의원,0
닥터효내과의원,0
용산성모내과의원,0
용산정형외과의원,6
글로벌치과의원,0
경희수진한의원,0
용산더힐내과의원,0
정담정신건강의학과의원,0
피엘의원,0
화인마취통증의학과의원 용산점,0
서울휴정신건강의학과의원,0
하예스킨의원,0
휴먼피부과의원,0
율봄한의원,0
대한민국의원,10
대한민국브레인한의원,10
이레피부과의원,0
닥터선의원,0
엠치과의원,0
서울희망유외과의원,2
마마스조산원,1
최치과의원,0
강태욱치과의원,0
원효산부인과의원,0
혜광의원,0
조치과의원,0
연치과의원,0
유명숙산부인과의원,0
김안과의원,0
연세중앙내과의원,0
우리동네효창한의원,0
은혜정형외과의원,0
위편장쾌한의원,0
서울이노치과의원,0
시카고치과의원,0
내이치과의원,0
보림한의원,0
최세원치과의원,0
보광가정의원,0
영화당한의원,0
일심외과산부인과의원,0
이삭치과의원,0
국제의원,0
김영주치과의원,0
신경란의원,0
서은치과의원,0
서울일미치과의원,0
최석진치과의원,0
이한주치과의원,0
박소아과의원,0
김성태치과의원,0
연세치과의원,0
방선빈치과의원,0
세명치과의원,0
미소지인의원,0
라엘르의원,0
윤스한의원,0
한우리한의원,0
서울법의의원,0
이상영치과의원,0
시민의원,0
최대균 남광호 치과의원,0
이엔치과의원,0
유디남영치과의원,0
서울유엔치과의원,0
경희이촌한의원,0
서울이촌치과의원,0
연세미소치과의원,0
허경선여성의원,0
용산의원,0
배나무한의원,0
더블유항외과의원,9
밝은연세안과의원,0
연세메디노블의원,0
마이디피부과의원이촌점,0
서울류마내과의원,0
서울정형외과의원,3
연세이비인후과의원,0
김연일정형외과의원,0
초이스내과신경과의원,0
국방치과의원,0
국방의원,0
청파약손한의원,0
성대혁치과의원,0
승치과의원,0
조승복의원,0
경리단길한의원,0
코어이비인후과의원,0
용산원치과의원,0
마음담은삼성내과의원,0
연세마취통증의학과의원,0
송가한의원,0
우리동네소아청소년과의원,0
브라이트치과의원,0
대한민국한의원,0
훼미리365의원,22
세심재한의원,0
서울빛드림안과의원,0
전자랜드의원,0
로하스가정의학과의원,0
다나의원,0
늘좋은한의원,0
하나이비인후과의원,2
더블유스타일치과의원,0
위(WE)공감내과의원,0
연세리더스치과의원,0
용문웰치과의원,0
성원한의원,0
서울준치과의원,0
조셉정형외과의원,2
주작나무한의원,0
튼튼한 치과의원,0
티아이피재활의학과의원,0
닥터유이비인후과의원,0
맨해튼치과의원,0
용산원한의원,0
호수의원,0
연세티트리의원,0
센트럴서울안과의원,1
평강한의원,0
소망한의원,0
경희유엔한의원,0
김도현소아청소년과의원,0
서울앤치과의원,0
노블라인치과의원,0
리더스치과의원,0
경희황금손한의원,0
숨한의원,0
래안치과의원,0
태원치과의원,0
인터서울치과의원,0
김홍경의 신농백초한의원,0
이태원제일한의원,0
정직한경희한의원,0
김낙인피부과의원,0
서울미소치과의원,0
연세바른생각치과의원,0
서울효창의원,0
김호선한의원,0
연세휴치과보철과치과의원,0
정진이비인후과의원,0
미앤영의원,0
유펜아이비치과의원,0
용산구보건소,0
연세세림내과의원,0
연세휴치과의원,0
서울바른치과의원,0
비에프오교정치과의원,0
힘찬세상경희한의원,0
서울엠치과의원,0
더행복한치과의원,0
윤혜리정신건강의학과의원,0
코코이비인후과의원,0
닥터고치과의원,0
닥터윤프로마취통증의학과의원,0
수풀림한의원,0
서울하우치과의원,0
하모니여성의원,0
선이고은의원,0
더연세치과의원,0
드림이비인후과의원,0
경희류한의원,0
온한의원,0
오아로피부과의원,0
노만희정신건강의학과의원,0
삼성신경외과의원,0
우리연세안과의원,2
고앤박치과의원,0
윤의원,0
참좋은치과의원,0
김정범치과의원,0
동민의원,0
한치과의원,0
동성한의원,0
성모이비인후과의원,0
대남의원,0
우태하한승경피부과의원,0
연세우리들의원,0
후암한의원,0
은정형외과의원,0
연세행복치과의원,0
순수한의원,0
예담피부과의원,0
이태원의원,0
동방한의원,0
박영진치과의원,0
김재관한의원,0
한마음치과의원,0
안영한의원,0
대원치과의원,0
안아픈세상경희한의원,0
한일한의원,0
청파치과의원,0
박태응내과의원,0
우리치과의원,0
문원실산부인과의원,0
백두한의원,0
최선원치과의원,0
연소아과의원,0
세란치과의원,0
차내과의원,0
이병윤치과의원,0
히카루치과의원,0
제일성모의원,0
윤치과의원,0
한빛의원,0
